platform,age_bracket,gender,value
Facebook,18-24,Female,7
Facebook,18-24,Male,6
Facebook,25-34,Female,19
Facebook,25-34,Male,17
Facebook,35-44,Female,14
Facebook,35-44,Male,13
Facebook,45-54,Female,9
Facebook,45-54,Male,8
Facebook,55+,Female,5
Facebook,55+,Male,2
Instagram,18-24,Female,14
Instagram,18-24,Male,12
Instagram,25-34,Female,21
Instagram,25-34,Male,18
Instagram,35-44,Female,11
Instagram,35-44,Male,9
Instagram,45-54,Female,5
Instagram,45-54,Male,4
Instagram,55+,Female,3
Instagram,55+,Male,3
